slug,site-address,name,geography,url
/brownfield-land/local-authority-eng/BRD/SH-042,"Queens Road/Ferncliffe Road, Saltaire",SH/042,SH/042,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/SH-042
/brownfield-land/local-authority-eng/BRD/SH-049,"Saltaire Road, Saltaire",SH/049,SH/049,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/SH-049
,,,,
/brownfield-land/local-authority-eng/BRW/001B,"Land north of Highwood Close including St georges Court, Brentwood CM14 4YF",001B,001B,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/001B
/brownfield-land/local-authority-eng/BRW/15-00760-PNCOU,125 - 127 High Street Brentwood Essex CM14 4RX,15/00760/PNCOU,15/00760/PNCOU,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/15-00760-PNCOU
/brownfield-land/local-authority-eng/BRW/16-00183-FUL,Eclipse Ongar Road Brentwood Essex CM15 9AU ,16/00183/FUL,16/00183/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/16-00183-FUL
/brownfield-land/local-authority-eng/BRW/16-01634-PNCOU,Leigh House Weald Road Brentwood Essex CM14 4SX,16/01634/PNCOU,16/01634/PNCOU,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/16-01634-PNCOU
,,,,
/brownfield-land/local-authority-eng/BRW/010,"Sow & Grow Nursery, Ongar Road, Pilgrims Hatch",010,010,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/010
/brownfield-land/local-authority-eng/BRW/020--HELAA170959-,"West Hordon industrial Estate, CM13 3XL",020 (HELAA170959),020 (HELAA170959),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/020--HELAA170959-
/brownfield-land/local-authority-eng/BRW/021,"Horndon Industrial Estate, Station Road, West Horndon",021,021,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/021
/brownfield-land/local-authority-eng/BRW/13-01097-FUL,"Chain Bridge Farm, Roman Rd, Mountessing",13/01097/FUL,13/01097/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/13-01097-FUL
/brownfield-land/local-authority-eng/BRW/14-01247-FUL,Former Elliots Nightclub and Petrol Station West Horndon CM13 3TB,14/01247/FUL,14/01247/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/14-01247-FUL
/brownfield-land/local-authority-eng/BRW/14-01446-FUL,Former Mountnessing Scrap Yard Roman Road Mountnessing,14/01446/FUL,14/01446/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/14-01446-FUL
/brownfield-land/local-authority-eng/BRW/15-00956-FUL,309 - 311 Roman Road Mountnessing Essex,15/00956/FUL,15/00956/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/15-00956-FUL
/brownfield-land/local-authority-eng/BRW/16-00322-FUL,"Long Meadow, Mill Green Rd, Fryerning",16/00322/FUL,16/00322/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/16-00322-FUL
/brownfield-land/local-authority-eng/BRW/16-01437-FUL,Oakwood Ongar Road Pilgrims Hatch,16/01437/FUL,16/01437/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/16-01437-FUL
/brownfield-land/local-authority-eng/BRW/17-01815-OUT,"Ingatestone Garden Centre, Roman Road, Ingatestone, Essex, CM4 9AU",17/01815/OUT,17/01815/OUT,https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/17-01815-OUT
/brownfield-land/local-authority-eng/BRW/189--HELAA171603-,"Former Catrina Nursery, Ongar Road, CM15 9SA",189 (HELAA171603),189 (HELAA171603),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/189--HELAA171603-
/brownfield-land/local-authority-eng/BRW/230--HELAA172627-,"Fairwinds, Magpie Lane Little Warley, CM13 3DT",230 (HELAA172627),230 (HELAA172627),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/230--HELAA172627-
